0;//---------------------------------------------------------
inside the Escape Pod;//area name
2;//area class
13;//climate in climate_types.dat, -1=random climate
11;//terrain map number
-1;//wrapping, -1=no wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
0;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
begin_alien_list;
end_alien_list;
begin_excluded_plot_object_classes;
end_excluded_plot_object_classes;
You have survived the crash intact, but the pod has been heavily damaged. The computer power lines are leaking burning fuel. The only way to open the exit hatch below you is to put out the fires. \ \ There is a fire extinguisher at the other end of the pod, but you must avoid the fires from the computers. Once you reach the extinguisher, right click it to pick it up.;//enter area text, specify none to not show it
1;//---------------------------------------------------------
Dried Up Marsh;//area name
1;//area class
6;//climate in climate_types.dat, -1=random climate
25;//terrain map number
-1;//wrapping, -1=no wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
1;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
begin_alien_list;
  90;//alien type in creatures.dat
    15;//number of these aliens 30
    12;//side
  91;//alien type in creatures.dat
    40;//number of these aliens 80
    12;//side
end_alien_list;
begin_excluded_plot_object_classes;
end_excluded_plot_object_classes;
You are at the bottom of a deep gorge. It is very dark, as the steep rock faces cut off most of the sky from view. A river must have passed through here once, because the land is still very wet. The marsh seems to be all but dried up except for what appears to be some marshland left at it's center. Very peculiar, it as if this area was terraformed to serve some purpose.;//enter area text, specify none to not show it
2;//---------------------------------------------------------
Hive;//area name
3;//area class
4;//climate in climate_types.dat, -1=random climate
2;//terrain map number
-1;//wrapping, -1=no wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
1;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
begin_alien_list;
  7;//alien type in creatures.dat
    80;//number of these aliens
    1;//side
  1;//alien type in creatures.dat
    30;//number of these aliens
    1;//side
  2;//alien type in creatures.dat
    30;//number of these aliens
    2;//side
  12;//alien type in creatures.dat
    17;//number of these aliens
    1;//side
end_alien_list;
begin_excluded_plot_object_classes;
end_excluded_plot_object_classes;
This area seems to be rich with aliens, big and small. You hear several loud groans from the distance, a sure sign that you have been spotted. For some reason you also feel like you are being stalked.;//enter area text, specify none to not show it
3;//---------------------------------------------------------
Missile Base;//area name
1;//area class
5;//climate in climate_types.dat, -1=random climate
3;//terrain map number
-1;//wrapping, -1=no wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
1;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
begin_alien_list;
  8;//alien type in creatures.dat
    70;//number of these aliens
