Battery Charger;//name---------------------------------------
  1;//identifier
  0;//item class
  40.000000;//weight
  Charges batteries. Use or drop to deploy it, and use a Fuel Cell near it to charge your batteries.;//short description
  You combine the parts and make a Battery Charger. The charger is quite heavy, and you may want to deploy it as soon as possible. It may be best to use it in a safe place where you visit often. \ \ When you have deployed the charger, you need to use a Fuel Cell near it to charge your batteries. But be careful of not using all the Fuel Cells, there aren't many on the planet.;//first pick up text
  0.650000;//size on map
  2;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
  20;//particle to shown on radar
  1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
  charger.png;//texture name
  -1;//wielded script,-1=nothing, only applicable for wieldable items
  -1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
  1;//show help text for conditions
  begin_wield_slots;
  end_wield_slots;
  begin_effects_block;
  Ready for use!;//event text
    none;//event failure text
    use.wav;//sound, none for nothing
    1;//vanishes after event, 0=no, 1=yes
    U;//use key
    -1;//quick key
    begin_conditions;
    end_conditions;
    begin_effects;
      3;//effect number
      1.000000;//parameter1
      1.000000;//parameter2
      0.000000;//parameter3
      0.000000;//parameter4
    end_effects;
  end_effects_block;
  begin_combinations;
  end_combinations;
Light Diode;//name---------------------------------------
  2;//identifier
  0;//item class
  2.000000;//weight
  A small diode that produces coherent light waves. You can combine it with an Energy Unit to make a Laser Pistol.;//short description
  You find a small electrical part that resembles a small lamp. Surprisingly it turns out to be one, probably the same diode technology that Earthlings use. \ \ With some modifications you could make it a crude laser pistol. The aliens aren't easily hurt by light weapons, but if you added an Energy Unit to give some extra punch, the pistol could easily be lethal. \ \ Without modifications, you could make it a targeting beam for your weapon. You only need to use it. If you wanted it to notify you when an enemy is targeted, you would need to add a motion detector.;//first pick up text
  0.350000;//size on map
  1;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
  20;//particle to shown on radar
  1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
  diode.png;//texture name
  -1;//wielded script,-1=nothing, only applicable for wieldable items
  -1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
  1;//show help text for conditions
  begin_wield_slots;
    5;
  end_wield_slots;
  begin_effects_block;
  Ready for targeting!;//event text
    none;//event failure text
    use.wav;//sound, none for nothing
    0;//vanishes after event, 0=no, 1=yes
    U;//use key
    -1;//quick key
    begin_conditions;
    end_conditions;
    begin_effects;
      6;//effect number
      1.000000;//parameter1
      0.000000;//parameter2
      1.000000;//parameter3
      0.000000;//parameter4
    end_effects;
  end_effects_block;
  begin_combinations;
    1;//discard this item after combine
    12;//combines with
    1;//discard that item after combine
    2;//combine time
    1;//can be broken up
    begin_items_given;
      27;//result of combine
      1;//amount to give
    end_items_given;
    1;//discard this item after combine
    29;//combines with
    1;//discard that item after combine
    4;//combine time
    1;//can be broken up
    begin_items_given;
      119;//result of combine
      1;//amount to give
    end_items_given;
  end_combinations;
Subspace Radio;//name---------------------------------------
  3;//identifier
  0;//item class
  2.000000;//weight
  This is a broken subspace radio, which now only functions as a normal radio. You could modify it to detect nearby items if you had a Computer Unit and a Long Metal Rod.;//short description
  You put out the fire with your extinguisher. You scavenge the computer for a Broken Subspace Radio. Like everything else, it was damaged in the crash. Without it's subspace transmitter it functions pretty much like an ordinary radio - you could send a message, but it would take years for it to reach the nearest colonies. \ \ Tinkering with the radio you find that you could easily modify it to detect local energy sources, such as most electrical items. First you will need to find the required parts though. \ \ (Press I to see which parts are needed, and try to find them in the nearby area);//first pick up text
  0.350000;//size on map
  1;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
  20;//particle to shown on radar
  1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
  radio.png;//texture name
  -1;//wielded script,-1=nothing, only applicable for wieldable items
  -1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
  1;//show help text for conditions
  begin_wield_slots;
  end_wield_slots;
  begin_effects_block;
  You try to tune on an alien radio station without success.;//event text
    none;//event failure text
    use.wav;//sound, none for nothing
    0;//vanishes after event, 0=no, 1=yes
    U;//use key
    -1;//quick key
    begin_conditions;
    end_conditions;
    begin_effects;
      0;//effect number
      0.000000;//parameter1
      0.000000;//parameter2
      0.000000;//parameter3
      0.000000;//parameter4
    end_effects;
  end_effects_block;
  begin_combinations;
    1;//discard this item after combine
    6;//combines with
    1;//discard that item after combine
    2;//combine time
    1;//can be broken up
    begin_items_given;
      5;//result of combine
      1;//amount to give
    end_items_given;
    1;//discard this item after combine
    7;//combines with
    1;//discard that item after combine
    3;//combine time
    1;//can be broken up
    begin_items_given;
      4;//result of combine
      1;//amount to give
    end_items_given;
  end_combinations;
Subspace Radio;//name---------------------------------------
  4;//identifier
  0;//item class
  2.000000;//weight
  This is a broken subspace radio, which now only functions as a normal radio. You could modify it to detect nearby items if you had a Long Metal Rod.;//short description
  none;//first pick up text
  0.350000;//size on map
  1;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
  20;//particle to shown on radar
  1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
  radio.png;//texture name
  -1;//wielded script,-1=nothing, only applicable for wieldable items
  -1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
  1;//show help text for conditions
  begin_wield_slots;
  end_wield_slots;
  begin_effects_block;
  You try to tune on an alien radio station without success.;//event text
    none;//event failure text
    use.wav;//sound, none for nothing
    0;//vanishes after event, 0=no, 1=yes
    U;//use key
    -1;//quick key
    begin_conditions;
    end_conditions;
    begin_effects;
      0;//effect number
      0.000000;//parameter1
      0.000000;//parameter2
      0.000000;//parameter3
      0.000000;//parameter4
    end_effects;
  end_effects_block;
  begin_combinations;
    1;//discard this item after combine
    6;//combines with
    1;//discard that item after combine
    3;//combine time
    1;//can be broken up
    begin_items_given;
      9;//result of combine
      1;//amount to give
    end_items_given;
  end_combinations;
Subspace Radio;//name---------------------------------------
  5;//identifier
  0;//item class
  2.000000;//weight
  This is a broken subspace radio, which now only functions as a normal radio. You could modify it to detect nearby items if you had a Computer Unit.;//short description
  none;//first pick up text
  0.350000;//size on map
  1;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
  20;//particle to shown on radar
  1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
  radio.png;//texture name
  -1;//wielded script,-1=nothing, only applicable for wieldable items
  -1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
  1;//show help text for conditions
  begin_wield_slots;
  end_wield_slots;
  begin_effects_block;
  You try to tune on an alien radio station without success.;//event text
    none;//event failure text
    use.wav;//sound, none for nothing
    0;//vanishes after event, 0=no, 1=yes
    U;//use key
    -1;//quick key
    begin_conditions;
    end_conditions;
    begin_effects;
      0;//effect number
      0.000000;//parameter1
      0.000000;//parameter2
      0.000000;//parameter3
      0.000000;//parameter4
    end_effects;
  end_effects_block;
  begin_combinations;
    1;//discard this item after combine
    7;//combines with
    1;//discard that item after combine
    3;//combine time
    1;//can be broken up
    begin_items_given;
      9;//result of combine
      1;//amount to give
    end_items_given;
  end_combinations;
Long Metal Rod;//name---------------------------------------
  6;//identifier
  0;//item class
  2.000000;//weight
  This is a long metal rod made of unknown metal alloy. It has several uses, such as serving as an antenna. It can be made into a shotgun in combination with a Powered Particle Accelerator.;//short description
  You find a Long Metal Rod, made of a some unknown alloy. You think of using it as a melee weapon, but you realize you would be better of beating the aliens with straws. The Rod could perhaps serve as an improvised antenna. \ \ You could also combine the rod with a Powered Particle Accelerator to make a makeshift shotgun. After that you would only need bullets.;//first pick up text
  0.650000;//size on map
  1;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
  20;//particle to shown on radar
  1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
  rod.png;//texture name
  -1;//wielded script,-1=nothing, only applicable for wieldable items
  -1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
  1;//show help text for conditions
  begin_wield_slots;
  end_wield_slots;
  begin_effects_block;
  You wave the rod, but nothing magical happens.;//event text
    none;//event failure text
    use.wav;//sound, none for nothing
    0;//vanishes after event, 0=no, 1=yes
    U;//use key
    -1;//quick key
    begin_conditions;
    end_conditions;
    begin_effects;
      0;//effect number
      0.000000;//parameter1
      0.000000;//parameter2
      0.000000;//parameter3
      0.000000;//parameter4
    end_effects;
  end_effects_block;
  begin_combinations;
    1;//discard this item after combine
    19;//combines with
    1;//discard that item after combine
    4;//combine time
    1;//can be broken up
    begin_items_given;
      63;//result of combine
      1;//amount to give
    end_items_given;
  end_combinations;
Computer Unit;//name---------------------------------------
  7;//identifier
  0;//item class
  1.000000;//weight
  This is a general use optical computing unit. It can be used on most systems that require computational assistance.;//short description
  You find an optical Computer Unit from your ship. These are very useful, as they can be used in practically any computing task, and they do not require electricity. Fortunately Computer Units are very durable, and most seem to have survived the crash intact.;//first pick up text
  0.350000;//size on map
  1;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
  20;//particle to shown on radar
  1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
  chip.png;//texture name
  -1;//wielded script,-1=nothing, only applicable for wieldable items
  -1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
  1;//show help text for conditions
  begin_wield_slots;
  end_wield_slots;
  begin_effects_block;
  The computer beeps at you.;//event text
    none;//event failure text
    use.wav;//sound, none for nothing
    0;//vanishes after event, 0=no, 1=yes
    U;//use key
    -1;//quick key
    begin_conditions;
    end_conditions;
    begin_effects;
      0;//effect number
      0.000000;//parameter1
      0.000000;//parameter2
      0.000000;//parameter3
      0.000000;//parameter4
    end_effects;
  end_effects_block;
  begin_combinations;
  end_combinations;
Escape Pod;//name---------------------------------------
  8;//identifier
  0;//item class
  50.000000;//weight
  This is the Escape Pod you came to this planet on. You could use it to get back home if you could add the necessary parts: Navigation System, Propulsion System, and Life Support System.;//short description
