No body temperature. Small food and battery usage. Best for beginners.;//easy difficulty level description
Medium difficulty is good for most players, but expect to restart a few times if you've never played before.;//medium difficulty level description
Enemies are more aggressive. For those who love the challenge.;//Hard difficulty level description
Human;//name------------------------------
0;//identifier
1;//visible in start menu
0;//side
13;//start area 
journal_human.dat;//journal text file name
Normal negative effects of body temperature. If the human runs out of food, he loses health very fast.;//description in start menu
0;//creature number in creatures.dat
0;//start animation number in animation.dat
200;//day length
100;//maximum carry weight
0.8;//climatic temperature change multiplier
ragdoll_human.png;//rag doll texture
computer.png;//interface texture
begin_weapon_frames;//must contain all weapon classes in order starting from 0
  0;//weapon class number
    1;//can use the weapon class (0=cannot, 1=can)
    creature0.png;texture name
    2;//row that contains the 4 weapon frames
    1.000000;//weapon_x
    27.000000;//weapon_y
  1;//weapon class number
    1;//can use the weapon class (0=cannot, 1=can)
    creature0.png;texture name
    2;//row that contains the 4 weapon frames
    1.000000;//weapon_x
    27.000000;//weapon_y
  2;//weapon class number
    1;//can use the weapon class (0=cannot, 1=can)
    creature0.png;texture name
    2;//row that contains the 4 weapon frames
    1.000000;//weapon_x
    27.000000;//weapon_y
  3;//weapon class number
    1;//can use the weapon class (0=cannot, 1=can)
    creature0.png;texture name
    2;//row that contains the 4 weapon frames
    1.000000;//weapon_x
    27.000000;//weapon_y
  4;//weapon class number
    1;//can use the weapon class (0=cannot, 1=can)
    creature0.png;texture name
    2;//row that contains the 4 weapon frames
    1.000000;//weapon_x
    27.000000;//weapon_y
  5;//weapon class number
    1;//can use the weapon class (0=cannot, 1=can)
    creature0.png;texture name
    2;//row that contains the 4 weapon frames
    1.000000;//weapon_x
    27.000000;//weapon_y
  6;//weapon class number
    1;//can use the weapon class (0=cannot, 1=can)
    creature0.png;texture name
    2;//row that contains the 4 weapon frames
    1.000000;//weapon_x
    27.000000;//weapon_y
  7;//weapon class number
    1;//can use the weapon class (0=cannot, 1=can)
    creature0_1.png;texture name
    0;//row that contains the 4 weapon frames
    8.000000;//weapon_x
    24.000000;//weapon_y
  8;//weapon class number
    1;//can use the weapon class (0=cannot, 1=can)
    creature0.png;texture name
    2;//row that contains the 4 weapon frames
    1.000000;//weapon_x
    27.000000;//weapon_y
  9;//weapon class number
    1;//can use the weapon class (0=cannot, 1=can)
    creature0.png;texture name
    2;//row that contains the 4 weapon frames
    1.000000;//weapon_x
    27.000000;//weapon_y
  10;//weapon class number
    1;//can use the weapon class (0=cannot, 1=can)
    creature0.png;texture name
    2;//row that contains the 4 weapon frames
    1.000000;//weapon_x
    27.000000;//weapon_y
  11;//weapon class number
    1;//can use the weapon class (0=cannot, 1=can)
    creature0.png;texture name
    3;//row that contains the 4 weapon frames
    12.000000;//weapon_x
    21.000000;//weapon_y
end_weapon_frames;
begin_specialties;
  seconds;//description
  5;//specialty 
    0;//difficulty level
    none;//message
    5.000000;//parameter0
    0.000000;//parameter1
    60.000000;//parameter2
    0.000000;//parameter3
  virtual days;//description
  5;//specialty 
    0;//difficulty level
    none;//message
    7.000000;//parameter0
    0.000000;//parameter1
    1000.000000;//parameter2
    0.000000;//parameter3
  virtual minutes;//description
  5;//specialty 
    0;//difficulty level
    none;//message
    8.000000;//parameter0
    0.000000;//parameter1
    60.000000;//parameter2
    0.000000;//parameter3
  virtual hours;//description
  5;//specialty 
    0;//difficulty level
    none;//message
    9.000000;//parameter0
    0.000000;//parameter1
    12.000000;//parameter2
    6.000000;//parameter3
  health bar;//description
  5;//specialty 
    0;//difficulty level
    none;//message
    0.000000;//parameter0
    0.000000;//parameter1
    100.000000;//parameter2
    100.000000;//parameter3
  energy bar;//description
  5;//specialty 
    0;//difficulty level
    none;//message
    1.000000;//parameter0
    0.000000;//parameter1
    100.000000;//parameter2
    100.000000;//parameter3
  temperature bar;//description
  5;//specialty 
    1;//difficulty level
    none;//message
    2.000000;//parameter0
    -100.000000;//parameter1
    100.000000;//parameter2
    0.000000;//parameter3
  used subspace radio marker bar;//description
  5;//specialty 
    0;//difficulty level
    none;//message
    14.000000;//parameter0
    0.000000;//parameter1
    5.000000;//parameter2
    1.000000;//parameter3
  used planetoid marker bar;//description
  5;//specialty 
    0;//difficulty level
    none;//message
    15.000000;//parameter0
    0.000000;//parameter1
