  dummy item;//name
  0;//id
  0;//item class
  0.000000;//weight
  none;//short description
  You find a Subspace Radio. Use your inventory to see if it can be combined with any other items.;//first pick up text
  1.000000;//size on map
  0;//show on radar
  20;//particle to show on radar
  1;//visible in inventory
  shipwreck.png;//texture name
  -1;//wielded script
  -1;//wielded item disabling script
  1;//show help texts for conditions
  begin_wield_slots;
  end_wield_slots;
  begin_effects_block;
    none;//event text
    none;//event failure text
    use.wav;//sound, none for nothing
    1;//vanishes after event
    U;//use key
    0;//quick key
    begin_conditions;
    end_conditions;
    begin_effects;
      1;//effect number
      0.000000;//parameter1
      0.000000;//parameter2
      0.000000;//parameter3
      0.000000;//parameter4
    end_effects;
  end_effects_block;
  begin_combinations;
  end_combinations;
  Battery Charger;//name
  1;//id
  0;//item class
  40.000000;//weight
  Charges batteries. Use a Fuel Cell near it to charge your batteries.;//short description
  none;//first pick up text
  0.650000;//size on map
  2;//show on radar
  20;//particle to show on radar
  1;//visible in inventory
  charger.png;//texture name
  -1;//wielded script
  -1;//wielded item disabling script
  1;//show help texts for conditions
  begin_wield_slots;
  end_wield_slots;
  begin_effects_block;
    Drop the generator with D-key.;//event text
    none;//event failure text
    use.wav;//sound, none for nothing
    0;//vanishes after event
    U;//use key
    0;//quick key
    begin_conditions;
    end_conditions;
    begin_effects;
    end_effects;
  end_effects_block;
  begin_combinations;
  end_combinations;
  Light Diode;//name
  2;//id
  0;//item class
  5.000000;//weight
  A small diode that produces coherent light waves. You can combine it with an Energy Unit to make a Laser Pistol.;//short description
  You find a small electrical part that resembles a small lamp. It is a part of the laser pistol.;//first pick up text
  0.350000;//size on map
  1;//show on radar
  20;//particle to show on radar
  1;//visible in inventory
  diode.png;//texture name
  -1;//wielded script
  -1;//wielded item disabling script
  1;//show help texts for conditions
  begin_wield_slots;
  end_wield_slots;
  begin_effects_block;
    Ready for targeting!;//event text
    none;//event failure text
    use.wav;//sound, none for nothing
    0;//vanishes after event
    U;//use key
    0;//quick key
    begin_conditions;
    end_conditions;
    begin_effects;
      6;//effect number
      1.000000;//parameter1
      0.000000;//parameter2
      0.000000;//parameter3
      0.000000;//parameter4
    end_effects;
  end_effects_block;
  begin_combinations;
    1;//discard this item after combine
    11;//combines with
    1;//discard that item after combine
    1;//combine time
    1;//can be broken up
    begin_items_given;
      15;//result of combine
      1;//amount to give
    end_items_given;
  end_combinations;
  Subspace Radio;//name
  3;//id
  0;//item class
